,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
108,19529,Baraka Medical Cenre,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,WESTLANDS,N,Y,Operational
135,18622,Skyhill Medical Centre,Nairobi,Health Centre,Private Practice - Medical Specialist,Kawangware,Gatina,DAGORETTI NORTH,Y,Y,Operational
136,19639,Skylit Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,N,Y,Operational
137,18000,Skymed Medical Clinic Githunguri,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githunguri,Githunguri,KASARANI,N,Y,Operational
141,19994,Slum Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kibera,Lindi,KIBRA,N,Y,Operational
142,19552,Smiles Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),,,WESTLANDS,N,Y,Operational
149,19393,Social Service League (Nairobi ),Nairobi,Dispensary,Private Enterprise (Institution),Central,Central,STAREHE,N,Y,Operational
153,19331,Soin Health Care - Mfangano Street),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
158,13188,Sokoni Arcade VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kawangware,,DAGORETTI NORTH,N,N,Operational
186,13189,SOS Dispensary,Nairobi,Dispensary,Non-Governmental Organizations,Bahati,,EMBAKASI WEST,N,N,Operational
213,13212,St Jude's Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,Y,Y,Operational
214,13211,St Jude's Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Komarock,EMBAKASI CENTRAL,Y,Y,Operational
223,19280,St Louis Community Hospital,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
234,19422,Starehe Boys Centre School Clinic,Nairobi,Medical Clinic,Academic (if registered),Kariokor,Kariokor,STAREHE,Y,Y,Operational
238,19276,Stars General Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
239,13231,State House Clinic,Nairobi,Dispensary,Local Authority,Kilimani,,DAGORETTI NORTH,N,N,Operational
241,13232,State House Dispensary (Nairobi),Nairobi,Dispensary,Ministry of Health,Kilimani,Kilimani,DAGORETTI NORTH,N,N,Operational
250,18574,Strathmore University Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Nairobi West,Nairobi West,LANG'ATA,N,N,Operational
256,21085,The Aga Khan University Hospital T Mall,Nairobi,Medical Centre,Private Enterprise (Institution),,,LANG'ATA,N,Y,Operational
257,19376,The Arcade Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,jangwani,RUARAKA,N,Y,Operational
259,18304,The Co-Operative University College of Kenya Dispe,Nairobi,Dispensary,Parastatal,Lang'ata,Hardy,LANG'ATA,N,N,Operational
264,13004,The Karen Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Karen,Karen,LANG'ATA,Y,Y,Operational
267,19434,The Mater Embakasi Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,PIpeline,Pipeline,EMBAKASI SOUTH,N,Y,Operational
268,19543,The Mater Hospital (Westlands),Nairobi,Medical Clinic,Private Practice - General Practitioner,,,WESTLANDS,Y,Y,Operational
269,17657,The Mater Hospital Buruburu,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Makadara,Harambee,MAKADARA,N,Y,Operational
270,13074,The Mater Hospital Mukuru,Nairobi,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Mukuru Nyayo,Mukuru Nyayo,STAREHE,Y,Y,Operational
273,19101,The Nairobi Hospital Out-Patient Centre Galeria,Nairobi,Medical Clinic,Private Enterprise (Institution),Lang'ata,Lang'ata,LANG'ATA,N,Y,Operational
275,19396,Tumaini Mwangaza ( Korogocho),Nairobi,Medical Clinic,Private Practice - General Practitioner,Korogocho,Korogocho,RUARAKA,Y,Y,Operational
309,13248,Vision Peoples Inter Health Centre,Nairobi,Health Centre,Other Faith Based,Ruaraka,,RUARAKA,N,N,Operational
312,17687,Viva Afya Kayole,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kayole,Kayole I,EMBAKASI CENTRAL,N,Y,Operational
314,18368,Viva Afya Medical Clinic (Matopeni),Nairobi,Medical Clinic,Private Practice - General Practitioner,Njiru,Matopeni,EMBAKASI WEST,N,N,Operational
322,18323,Vostrum Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Kibera,Makina,KIBRA,N,Y,Operational
327,18344,Afya House Dispensary,Nairobi,Dispensary,Ministry of Health,Community,Community,KIBRA,N,N,Operational
332,19621,Afya Medical Clinic (Dandora),Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora 41,EMBAKASI NORTH,N,Y,Operational
349,19514,Blessed Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kibra,Makina,KIBRA,N,Y,Operational
350,21219,Bliss Health Care Limited,Nairobi,Medical Clinic,Private Practice - General Practitioner,Landmawe,Landmawe,STAREHE,N,Y,Operational
351,21050,Blissgvs Health Care Pipeline,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Pipeline,Pipeline,EMBAKASI EAST,N,Y,Operational
354,12885,Blue House Dispensary,Nairobi,Dispensary,Non-Governmental Organizations,Eastleigh Section I,,KAMUKUNJI,N,N,Operational
362,19561,Bodaki Health Centre,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,WESTLANDS,N,Y,Operational
363,18805,Bodaki Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kawangware,Gatina,DAGORETTI NORTH,Y,Y,Operational
386,18273,Buruburu Friends Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Embakasi,Tassia,EMBAKASI EAST,N,N,Operational
387,12888,Buruburu Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Makadara,Makadara,MAKADARA,N,N,Operational
435,19504,Child Doctor Kenya,Nairobi,Dispensary,Private Enterprise (Institution),Woodly,Golf Course,KIBRA,N,N,Operational
437,17951,Children Medical Clinic (Kasarani),Nairobi,Dispensary,Private Enterprise (Institution),Kasarani,Kasarani,KASARANI,N,N,Operational
443,19589,Chiromo Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Parklands,,WESTLANDS,Y,Y,Operational
447,12909,Dagoretti Approved Dispensary,Nairobi,Dispensary,Ministry of Health,Uthiru/Ruthimitu,Kagondo,DAGORETTI SOUTH,N,N,Operational
448,20189,Dagoretti Community Dispesary,Nairobi,Dispensary,Non-Governmental Organizations,Ngando,Ngando,DAGORETTI SOUTH,N,N,Operational
462,19545,Damic Dental X-Ray Services,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
465,12911,Dandora (EDARP) Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat, Dandora , Dandora ,EMBAKASI WEST,N,N,Operational
466,17997,Dandora Health Service,Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora Phase V,EMBAKASI NORTH,N,Y,Operational
467,12913,Dandora I Health Centre,Nairobi,Health Centre,Local Authority,Dandora,Dandora,EMBAKASI NORTH,N,N,Operational
468,12912,Dandora II Health Centre,Nairobi,Health Centre,Local Authority,Dandora,Dandora,EMBAKASI NORTH,N,N,Operational
469,19617,Dandora Medical and Laboratory Services (Kojwang),Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora Phase 2,EMBAKASI NORTH,N,Y,Operational
470,18220,Dandora Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Dandora,Dandora,KASARANI,N,Y,Operational
478,19982,Dr Kingondu Clinic (Kilimani),Nairobi,Medical Clinic,Private Practice - Medical Specialist,,,DAGORETTI NORTH,N,Y,Operational
484,19568,Dr Kishor J D Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
492,19420,Dr M S Saroya Medical Clinic (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
496,20106,Dr Maina Ruga Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,City Cenre,Central,STAREHE,N,Y,Operational
497,19419,Dr Maina Skin Clinic (Ngara),Nairobi,Medical Clinic,Private Practice - Unspecified,Ngara ,Ngara East,STAREHE,N,Y,Operational
551,20078,Farmers choice wellness centre clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,kahawa west,kahawa west,ROYSAMBU,N,Y,Operational
572,12943,Flack Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi South,Nairobi South,MAKADARA,N,N,Operational
574,18472,Flomed Med Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kasarani,Kasarani,KASARANI,N,Y,Operational
597,12947,Garrison Health Centre,Nairobi,Health Centre,Armed Forces,Embakasi,Embakasi,EMBAKASI EAST,N,N,Operational
624,12955,Giovanna Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Roysambu,,ROYSAMBU,N,N,Operational
626,19619,Good Neighbours Medical Clinic (Dandora),Nairobi,Medical Clinic,Non-Governmental Organizations,Dandora,Dandora 41,EMBAKASI NORTH,N,Y,Operational
628,12959,Good Samaritan Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kasarani,,KASARANI,N,N,Operational
632,12960,Good Shepherd Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Mutuini,Kirigu,DAGORETTI SOUTH,N,N,Operational
674,12969,Hono Clinic,Nairobi,Dispensary,Local Authority,Jericho- Lumumba,Lumumba,MAKADARA,N,N,Operational
730,16802,Jonalifa Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Kawangware,Kawangware,DAGORETTI NORTH,Y,Y,Operational
741,20450,Josiah Community Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kwa Njenga,Pipeline,EMBAKASI SOUTH,Y,Y,Operational
747,19300,Josnik Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
783,19312,Kam ENT Services,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,Central,STAREHE,N,Y,Operational
784,19313,Kam Health Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
893,18505,KEMRI Mimosa,Nairobi,Dispensary,Ministry of Health,Woodley,Woodley,KIBRA,,Y,Operational
895,13019,Kemri VCT,Nairobi,VCT Centre (Stand-Alone),Ministry of Health,Golfcourse,,KIBRA,N,N,Operational
896,20146,KEMRI/CDC Health Services,Nairobi,Medical Centre,Non-Governmental Organizations,Mathare,Mathare,MATHARE,N,Y,Operational
897,18357,Kemsa Staff Clinic,Nairobi,Dispensary,Ministry of Health,Landi Mawe,Landi Mawe,STAREHE,N,N,Operational
913,13020,Kenwa,Nairobi,Dispensary,Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
980,19330,Kimathi Street Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
1094,19316,Lad Nan Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kariokor,Pangani,STAREHE,Y,Y,Operational
1100,20406,Lina Medical Services,Nairobi,Dispensary,Community,Embakasi,Tassia,EMBAKASI EAST,N,Y,Operational
1102,20623,Lindi Community Clinic,Nairobi,Dispensary,Ministry of Health,Kibra,Lindi,KIBRA,N,N,Operational
1104,21147,Lions Sightfirst Eye Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),,,WESTLANDS,Y,Y,Operational
1108,18611,Lithi Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kiambiu,Kiambiu,KAMUKUNJI,Y,Y,Operational
1112,13050,Liverpool VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kilimani,,DAGORETTI NORTH,N,N,Operational
1127,19481,Lumumba Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Lumumba,Lumumba,MAKADARA,Y,Y,Operational
1130,13053,Lunga Lunga Health Centre,Nairobi,Dispensary,Local Authority,Viwandani,Viwandani,MAKADARA,N,N,Operational
1154,13056,Makadara Health Centre,Nairobi,Health Centre,Ministry of Health,Makadara,Makadara,MAKADARA,Y,Y,Operational
1155,13057,Makadara Mercy Sisters Dispensary,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Makadara,Lumumba/Jericho,MAKADARA,N,Y,Operational
1171,13058,Makina Clinic,Nairobi,Dispensary,Community,Kibera,Makina,KIBRA,Y,Y,Operational
1207,18985,Maranatha Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kibra,Lindi,KIBRA,N,Y,Operational
1217,13061,Maria Dominica Dispensary,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Karen,Karen,LANG'ATA,N,N,Operational
1218,13062,Maria Immaculate Health Centre,Nairobi,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Lavington,,DAGORETTI NORTH,Y,Y,Operational
1219,13063,Maria Maternity and Nursing Home,Nairobi,Maternity Home,Private Practice - General Practitioner,Kayole,Kayole,EMBAKASI CENTRAL,N,N,Operational
1220,20276,Maria Medical Clinic And Diadetic centre(Saika) ,Nairobi,Medical Clinic,Private Practice - General Practitioner,Njiru,Saika,KASARANI,N,Y,Operational
1226,13064,Mariakani Cottage Hospital Ltd,Nairobi,Nursing Home,Private Enterprise (Institution),Nairobi South,Nairobi South,STAREHE,Y,Y,Operational
1228,19432,Mariakani Cottage Hospital Utawala Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Utawala,Utawala,EMBAKASI EAST,Y,Y,Operational
1236,16166,Marie Stopes Clinic (Dagoretti),Nairobi,Dispensary,Non-Governmental Organizations,Golfcourse,,KIBRA,N,N,Operational
1238,13065,Marie Stopes Clinic (Kencom),Nairobi,Dispensary,Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
1239,13067,Marie Stopes Clinic (Kilimani),Nairobi,Dispensary,Non-Governmental Organizations,Kilimani,,DAGORETTI NORTH,N,N,Operational
1243,16167,Marie Stopes Clinic (Langata),Nairobi,Medical Clinic,Non-Governmental Organizations,Makina,,KIBRA,N,N,Operational
1246,13066,Marie Stopes Clinic (Pangani),Nairobi,Medical Clinic,Non-Governmental Organizations,Pangani,Pangani,STAREHE,N,Y,Operational
1256,13068,Marie Stopes Nursing Home (Eastleigh),Nairobi,Nursing Home,Non-Governmental Organizations,Eastleigh Section I,,KAMUKUNJI,Y,Y,Operational
1270,13069,Maringo Clinic,Nairobi,Dispensary,Local Authority,Maringo,Maringo,MAKADARA,N,N,Operational
1273,20089,Marist International University College Medical Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Langata,Langata,LANG'ATA,N,N,Operational
1360,16798,Mawamu Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,Kangemi,WESTLANDS,N,N,Operational
1368,19403,Max Family Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
1379,13070,Marura Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Ruaraka,utalii,RUARAKA,Y,Y,Operational
1382,13071,Marurui Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
1388,12982,Mary Immaculate Clinic Mukuru,Nairobi,Medical Clinic,Other Faith Based,Mukuru Nyayo,Nairobi South,STAREHE,N,N,Operational
1393,13072,Mary Immaculate Sisters Dispensary,Nairobi,Dispensary,Other Faith Based,Bahati,,MAKADARA,N,Y,Operational
1394,17514,Mary Mission,Nairobi,Health Centre,Private Enterprise (Institution),Wanyee Road,,DAGORETTI SOUTH,Y,Y,Operational
1438,13075,Mathare 3A (EDARP),Nairobi,VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,Mathare,,MATHARE,N,N,Operational
1439,13077,Mathare North Health Centre,Nairobi,Health Centre,Local Authority,Ruaraka,Mathare North sub location,RUARAKA,N,N,Operational
1440,13078,Mathare Police Depot,Nairobi,Dispensary,Ministry of Health,Mathare,,MATHARE,N,N,Operational
1441,13076,Mathari Hospital,Nairobi,District Hospital,Ministry of Health,Mathare,,MATHARE,Y,Y,Operational
1495,17947,Loreigns Medical Services (Kasarani),Nairobi,Medical Clinic,Private Practice - Unspecified,Kasarani,Kasarani,KASARANI,Y,Y,Operational
1514,13052,Lower Kabete Dispensary (Kabete),Nairobi,Dispensary,Local Authority,L/Kabete,L/Kabete,WESTLANDS,N,N,Operational
1590,19600,Madaktari Health Clinic (Njiru),Nairobi,Medical Clinic,Private Practice - Unspecified,Njiru,Njiru,KASARANI,N,Y,Operational
1596,13055,Madina Nursing Home,Nairobi,Dispensary,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,Y,Y,Operational
1603,19473,Maendereo Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Makadara,Hamza,MAKADARA,Y,Y,Operational
1606,19512,Mafra Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,,,WESTLANDS,Y,Y,Operational
1642,19554,Maichoma Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,WESTLANDS,Y,Y,Operational
1660,19308,Maisha House VCT (Noset),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Ramesh Gautama Road,Ngara,STAREHE,,,Operational
1661,19542,Maisha Poa Dispensary,Nairobi,Medical Clinic,Private Practice - General Practitioner,Riruta,Riruta,DAGORETTI NORTH,N,Y,Operational
1696,20624,Makina Community Clinic,Nairobi,Dispensary,Ministry of Health,Kibera,Makina,KIBRA,N,N,Operational
1702,13059,Makkah Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
1754,18895,Korogocho Health Centre,Nairobi,Health Centre,Ministry of Health,KOROGOCHO,KOROGOCHO,ROYSAMBU,N,N,Operational
1779,20340,KTTID Dispensary,Nairobi,Dispensary,Ministry of Health,Karen,Karen,LANG'ATA,N,N,Operational
1843,13038,Komarock Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,N,N,Operational
1844,17717,Komarock Morden Medical Care,Nairobi,Health Centre,Private Practice - General Practitioner,Kayole,Komarock,EMBAKASI CENTRAL,Y,Y,Operational
1873,19372,Kwetu Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,KASARANI,N,Y,Operational
1877,18827,Kwosp (Korogocho),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kariobangi,Kariobangi,KASARANI,N,N,Operational
1925,17411,Mama Lucy Kibaki Hospital - Embakasi,Nairobi,District Hospital,Ministry of Health,Umoja,Komarock,EMBAKASI WEST,Y,Y,Operational
1929,16169,Lady Northey Dispensary,Nairobi,Dental Clinic,Local Authority,Kilimani,,DAGORETTI NORTH,N,N,Operational
1934,13039,Lagos Road Dispensary,Nairobi,Dispensary,Local Authority,Central Business District,,STAREHE,N,N,Operational
1939,19993,Laini Saba Health Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Laini Saba,Laini Saba,KIBRA,Y,Y,Operational
1942,18991,Lakeside Medical,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Sarang'ombe,Gatwekera,LANG'ATA,N,Y,Operational
1957,13040,Landmawe Medical Services,Nairobi,Medical Clinic,Private Enterprise (Institution),Makogeni,Makogeni,MAKADARA,Y,Y,Operational
1964,17384,Lang'ata Comprehensive Medical Service,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
1967,13041,Langata Health Centre,Nairobi,Health Centre,Local Authority,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
1968,13042,Langata Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Mugumoini,Mugumoini,LANG'ATA,Y,Y,Operational
1969,13044,Langata Women Prison Dispensary,Nairobi,Dispensary,Ministry of Health,Mugumoini,Mugumoini,LANG'ATA,N,Y,Operational
1978,19503,Latema Medical Services (Nairobi),Nairobi,Medical Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
1981,13045,Lea Toto,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kariobangi,,KASARANI,N,N,Operational
1982,16800,Lea Toto Clinic (Westlands),Nairobi,Medical Clinic,Non-Governmental Organizations,Kangemi,Mountain View,WESTLANDS,N,N,Operational
1983,13047,Lea Toto Clinic Kariobangi South,Nairobi,Medical Clinic,Non-Governmental Organizations,Kariobangi South,Servant Quarter,KASARANI,N,N,Operational
1984,17720,Lea Toto Community Mukuru Reuben,Nairobi,Dispensary,Other Faith Based,Mukuru,Imara Daima,EMBAKASI SOUTH,N,N,Operational
1985,13046,Lea Toto Dagoretti,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Satelite,,DAGORETTI SOUTH,N,N,Operational
1986,19914,Lea Toto Kawangware,Nairobi,Medical Clinic,Non-Governmental Organizations,Kawangware,Kawangware,DAGORETTI SOUTH,N,N,Operational
1987,13048,Lea Toto Kibera,Nairobi,Medical Clinic,Non-Governmental Organizations,Sarang'Ombe,,KIBRA,N,N,Operational
1988,18828,Lea Toto Mwiki,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Githurai,Zimmerman,ROYSAMBU,N,N,Operational
2014,18590,Lengo Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Mukuru Nyayo,Hazina,STAREHE,N,Y,Operational
2037,13049,Lianas Clinic Health Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,,WESTLANDS,Y,Y,Operational
2067,19374,Manasco Medical Centre (Roysambu),Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,Roysambu,ROYSAMBU,N,Y,Operational
2132,19436,Kings Cross Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
2138,19625,Kinmed Medical Clinic (Dandora),Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora 41,KASARANI,N,Y,Operational
2284,13035,Kisembo Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Makina,Lindi,KIBRA,N,N,Operational
2339,19508,Local Aid Organization,Nairobi,Dispensary,Private Enterprise (Institution),Riruta,Ngando,DAGORETTI NORTH,N,N,Operational
2346,13051,Loco Dispensary,Nairobi,Dispensary,Other Public Institution,Makongeni,Makongeni,STAREHE,N,N,Operational
2407,13036,Kivuli Dispensary,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Riruta,,DAGORETTI SOUTH,N,N,Operational
2414,13013,Kenya AIDS Vaccine Initiative (KAVI),Nairobi,Health Project,Academic (if registered),Kangemi,,WESTLANDS,N,N,Operational
2415,18261,Kenya Airports Employees Association,Nairobi,Medical Clinic,Company Medical Service,Embakasi,Embakasi Village,EMBAKASI EAST,N,N,Operational
2416,13021,Kenya Airways Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,City Square,,STAREHE,N,Y,Operational
2419,18385,Kenya Association of Pofessional Counsellors (Kapc,Nairobi,Training Institution in Health (Stand-alone),Non-Governmental Organizations,Parlands,Parlkands,WESTLANDS,N,Y,Operational
2422,20303,Kenya Institute of Special Education Dispensary,Nairobi,Dispensary,Academic (if registered),Kasarani,Kasarani,KASARANI,N,Y,Operational
2429,20371,Kenya Police Staff College Clinic,Nairobi,Dispensary,Academic (if registered),Girigiri,loresho,WESTLANDS,Y,Y,Operational
2431,13022,Kenya Utalii Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kasarani,,RUARAKA,N,N,Operational
2435,13023,Kenyatta National Hospital,Nairobi,National Referral Hospital,Ministry of Health,Golfcourse,,KIBRA,Y,Y,Operational
2438,13024,Kenyatta University Dispensary,Nairobi,Dispensary,Other Public Institution,Githurai,,ROYSAMBU,N,N,Operational
2490,12863,AAR Thika Road Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kasarani,,ROYSAMBU,N,N,Operational
2493,12864,Abandoned Child Care,Nairobi,Dispensary,Non-Governmental Organizations,Uthiru/Ruthimitu,,DAGORETTI SOUTH,N,N,Operational
2495,19484,Abby Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,WESTLANDS,Y,Y,Operational
2498,19354,Abdallah Dental Clinic (Barclays Plaza-Nairobi),Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
2507,19441,Abra Health Services,Nairobi,Medical Clinic,Private Practice - Unspecified,Savannah,Savannah,EMBAKASI WEST,N,Y,Operational
